2026-07-04 22:54:10,010 [INFO] StructureParser:     [KBLI-DICT] 127 entri F&B dari 1461 total entri
2026-07-04 22:54:10,011 [INFO] StructureParser:   [OK] 0 pasal (BT=0 PJ=0), 0 blok KBLI, 127 entri kamus KBLI
2026-07-04 22:54:13,403 [INFO] StructureParser:   [OK] 753 pasal (BT=753 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,017 [INFO] StructureParser:   [OK] 632 pasal (BT=632 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,039 [INFO] StructureParser:   [OK] 9 pasal (BT=9 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,048 [INFO] StructureParser:   [OK] 9 pasal (BT=9 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,156 [INFO] StructureParser:   [OK] 6 pasal (BT=6 PJ=0), 1225 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,244 [INFO] StructureParser:   [OK] 28 pasal (BT=28 PJ=0), 3 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,269 [INFO] StructureParser:   [OK] 5 pasal (BT=5 PJ=0), 366 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,283 [INFO] StructureParser:   [OK] 0 pasal (BT=0 PJ=0), 48 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,343 [INFO] StructureParser:   [OK] 32 pasal (BT=32 PJ=0), 1 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,367 [INFO] StructureParser:   [OK] 4 pasal (BT=4 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:15,929 [INFO] StructureParser:   [OK] 323 pasal (BT=76 PJ=247), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:30,520 [INFO] StructureParser:   [OK] 1143 pasal (BT=15 PJ=1128), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:31,598 [INFO] StructureParser:   [OK] 386 pasal (BT=193 PJ=193), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:32,014 [INFO] StructureParser:   [OK] 214 pasal (BT=68 PJ=146), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:32,096 [INFO] StructureParser:   [OK] 135 pasal (BT=67 PJ=68), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:33,000 [INFO] StructureParser:   [OK] 322 pasal (BT=161 PJ=161), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:54:33,137 [INFO] StructureParser:   [OK] 129 pasal (BT=65 PJ=64), 0 blok KBLI, 0 entri kamus KBLI
